userid, openness, agreeableness, emotional_stability, conscientiousness, extraversion, assigned metric, assigned condition, movie_1, predicted_rating_1, movie_2, predicted_rating_2, movie_3, predicted_rating_3, movie_4, predicted_rating_4, movie_5, predicted_rating_5, movie_6, predicted_rating_6, movie_7, predicted_rating_7, movie_8, predicted_rating_8, movie_9, predicted_rating_9, movie_10, predicted_rating_10, movie_11, predicted_rating_11, movie_12, predicted_rating_12, is_personalized, enjoy_watching 
8e7cebf9a234c064b75016249f2ac65e,5,2,3,2.5,6.5, serendipity, high,77658,4.410466123,95858,4.271994874,115713,4.611921692,26674,4.459407297,93040,4.147291839,117533,4.098205577,108979,4.064842919,112582,4.14910028,120138,4.244817143,121372,4.39600428,127152,4.120456368,95311,4.053847202,4,4
77c7d756a093150d4377720abeaeef76,7,4,6,5.5,4, all, default,94959,4.20728005,1247,4.266539716,953,4.211321797,2010,4.408340655,1234,4.090358214,5291,4.20242446,106642,4.113912482,1209,4.094422213,56782,4.019598753,5618,3.963952938,969,4.174188172,1232,4.334876817,2,3
b7e8a92987a530cc368719a0e60e26a3,4,3,4.5,2,2.5, serendipity, medium,110501,4.868064261,77658,4.71044351,101895,5.029360333,1260,4.698602366,5971,4.66076923,98491,4.962319464,926,4.706864441,1204,4.645190766,2288,4.823211695,3307,4.676755774,1172,4.649280621,1212,4.744989753,2,2
92561f21446e017dd6b68b94b23ad5b7,5.5,5.5,4,4.5,4, popularity, medium,2905,4.526371475,2843,4.456451341,3629,4.668443861,3022,4.676066892,3307,4.530359689,1211,4.29266005,3462,4.341634213,5291,4.261166214,3030,4.425689189,1281,4.479920901,940,4.355061365,905,4.317926731,3,3
030001ac2145a938b07e686a35a2d638,5.5,5.5,3.5,4.5,2.5, popularity, medium,2905,4.526371475,2843,4.456451341,3629,4.668443861,3022,4.676066892,3307,4.530359689,1211,4.29266005,3462,4.341634213,5291,4.261166214,3030,4.425689189,1281,4.479920901,940,4.355061365,905,4.317926731,2,3
f91b2fb085d0feb47b86fc81b10207ee,6,3,4,3.5,1.5, popularity, medium,2905,4.526371475,2843,4.456451341,3629,4.668443861,3022,4.676066892,3307,4.530359689,1211,4.29266005,3462,4.341634213,5291,4.261166214,3030,4.425689189,1281,4.479920901,940,4.355061365,905,4.317926731,2,4
f7b0502be8c86203ce6acaffe59f993a,4.5,4,6,5,4, diversity, low,1289,4.221673173,3677,4.190383003,62336,4.294106919,96606,4.272786113,26587,4.25240479,58425,4.224021508,923,4.234650543,8516,4.204541847,1248,4.16415339,1212,4.153351073,2360,4.206983471,5291,4.157934134,3,4
36f31ef9879b4de96977aeba94878581,5.5,4.5,6,3,4, popularity, low,109243,4.30014587,103984,4.080162648,96829,4.06493611,7939,4.375405915,73881,4.024131448,85342,4.047523827,7075,4.159384244,8491,4.277289092,116897,4.101133906,117444,4.138053633,117192,4.164289055,117533,4.231471683,4,4
653bb2f69ddd19e1cf1f9e1871916d71,5,5,5,5,3, diversity, high,91658,5.02128546,112552,4.796424131,110102,4.383820024,102445,4.358524261,113573,4.609797753,77658,4.393435299,115210,4.608925742,5944,4.670232913,1035,4.710798659,104241,4.587644,30749,4.870535559,4886,4.622648456,3,4
89d365a0d0f1a80ae8d079079a078155,6,6.5,2,2.5,3, diversity, high,91658,5.02128546,112552,4.796424131,110102,4.383820024,102445,4.358524261,113573,4.609797753,77658,4.393435299,115210,4.608925742,5944,4.670232913,1035,4.710798659,104241,4.587644,30749,4.870535559,4886,4.622648456,3,2
4d92401ed253aab37fa28a68d5d24d87,6.5,6.5,7,5.5,6.5, serendipity, high,111921,4.815901791,108727,4.619950776,103235,4.549528604,106441,4.508334452,103606,4.56686095,113741,4.488388599,111387,4.594635911,89678,4.679479261,129514,4.737352661,114554,4.537295993,93988,4.495625379,93006,4.661248021,5,5
875afaef12d7872b644948db1bb3040a,2.5,6.5,7,7,4, diversity, low,1263,4.579791136,1090,4.561860522,1299,4.699069527,2329,4.554050242,4034,4.641032454,73344,4.709273792,6016,4.79446899,1276,4.565427098,92535,4.579757465,3424,4.684478652,56782,4.811083861,96829,4.598053282,1,5
2507e0e5af7f4c6bef436c8cd0e90bc3,6.5,4,2.5,6,4, serendipity, high,108979,4.289740955,100553,4.471062268,99764,4.391395901,3134,4.40237986,3415,4.391005539,3503,4.286466003,2351,4.579795196,1900,4.453983897,1464,4.292322781,1232,4.368416312,27834,4.37451014,8477,4.40617367,4,4
7500db258d55789ef86cbb29ffcb2016,7,3,2,3,1.5, diversity, high,104069,5.048893406,95858,5.032671729,104374,4.502898779,92500,4.407376875,107052,4.716055536,106452,4.150001745,77177,4.744209577,108977,4.397306952,103107,4.458108212,82976,4.72941436,96020,4.817728485,120813,4.735963397,1,4
4d9071f72df26fe1d04196c8c6bb126e,5.5,5,6.5,5.5,6, popularity, medium,130518,4.428596074,129514,4.443222855,131724,4.452083371,114635,4.51073751,79008,4.644815843,56251,4.256397284,113240,4.254695281,107410,4.279497758,111130,4.315984099,3007,4.250594311,109487,4.335675131,111436,4.33961984,3,3
67fc933eadbe711d020d3f3c2136b087,6,4,6,3,6, popularity, low,93006,4.092424211,27423,4.224041246,108548,4.191291111,103606,4.028813264,55872,4.097756979,131724,4.095844375,2996,4.240776954,127441,4.147577993,115667,4.18345927,129514,4.186547383,4296,4.158688612,88810,4.024684428,2,2
a258fd42676ec2550796eeb1b0028ea0,5.5,3.5,3,6.5,2.5, serendipity, medium,100556,3.9430027,52604,4.08553378,44555,3.61334558,97172,4.458883942,101525,3.76382978,1203,3.604194652,5995,4.037672667,904,3.643755845,104879,4.187069518,4262,4.619541443,1193,3.693692371,55765,4.3079786,4,4
e0ae9890c58fcfe19c89b45f5871add2,5.5,6,4,3.5,1.5, popularity, low,108583,4.039876256,82173,4.222035734,97225,4.10985233,95105,4.088729094,55250,4.300478617,48161,4.660573021,94466,4.137663437,42732,4.585560464,96829,4.002827082,68659,4.380466292,48593,4.257109447,103335,4.008531823,4,4
0c6e74d0739fb94e2f3c8e5605497bbd,6.5,4,3.5,3.5,4.5, popularity, low,108583,4.039876256,82173,4.222035734,97225,4.10985233,95105,4.088729094,55250,4.300478617,48161,4.660573021,94466,4.137663437,42732,4.585560464,96829,4.002827082,68659,4.380466292,48593,4.257109447,103335,4.008531823,3,3
b6a8cb7e55cbf2c1bde7f2b252203272,5.5,2,2.5,6,2.5, diversity, low,904,3.97630769,908,3.911452816,3801,3.836817054,5008,3.908224296,7116,3.789561012,1219,3.828388224,1212,3.878987073,1284,3.870509617,922,3.903403977,8228,3.842085824,1269,3.813611415,951,3.934912758,4,4
7211a6a66a5fc549e2d74dacfbb555b2,5.5,4,5.5,4.5,4.5, popularity, low,107978,4.072250642,106452,4.120046615,26674,4.126574247,104350,4.550991648,102792,4.143879971,98017,4.327062985,110501,4.016141906,93988,4.131091541,97673,4.450183663,104069,4.168148597,26158,4.4538317,82143,4.053520415,3,3
2d274b0dd0a7fe38bb172aed02270a7c,6.5,5,5.5,5,5.5, popularity, medium,60069,4.644613572,2019,4.696044817,6016,4.604240631,8368,4.622899703,1203,4.708305035,5618,4.727537821,1035,4.697638797,953,4.813300288,1207,4.759959499,1234,4.722292985,908,4.718814643,904,4.763877586,3,4
428db88497a65655feb825365ad29a4a,7,4,5,5,3.5, all, default,1198,5.188502531,1136,5.195696383,1196,5.171172188,112552,5.180126827,2019,5.162977523,44555,5.123564154,1221,5.101516685,5618,5.095913147,6016,5.097537504,34405,5.101902281,2324,5.071910984,4973,5.067619075,4,4
32babaf7d63853c83739e371efba6929,5,4,2,2.5,1.5, all, default,89759,5.001815903,96606,5.20283718,48738,4.823510252,1175,4.807212104,114028,5.050335726,105593,4.923247581,6350,4.620981024,116138,4.902968974,93040,4.838789685,85774,4.627334535,73881,4.654456031,95654,4.786084063,2,2
183a0f30268fa6fda7b3609f8bcf0f44,6.5,2.5,3.5,5.5,4, serendipity, medium,1037,4.038130534,1035,3.706844281,4728,3.905473096,4571,3.7117087,5500,3.901287984,3608,3.807475215,1405,4.035088313,69951,3.860243883,64285,3.799111661,1347,4.0543799,2968,3.746093643,82667,3.781857054,2,4
eefef5e8659f07c7ca44b300d51559d6,5,4,5.5,3.5,4.5, popularity, medium,130284,3.32985833,130454,3.330474854,128490,3.330510279,117504,3.330696882,132954,3.331518385,132950,3.331522685,127565,3.334360522,133383,3.334807046,115713,3.335322665,123735,3.338052933,133389,3.377914926,132046,3.378394216,2,3
838c3893b7166571c97e796dcaf456d7,6,4,5.5,4,3.5, all, default,2858,5.033626977,4226,4.994783936,1193,4.9695902,48516,5.010423524,60069,4.968916951,1198,4.932326897,2571,4.923389939,2329,4.963444136,68157,4.959673904,1196,4.913285815,79132,4.905643289,4011,4.965989123,4,2
79a402185248690bdee40163a140fde4,5,4,5,4.5,2, serendipity, high,77658,3.94250371,86377,3.822996904,1250,3.811950701,1230,3.782793957,3089,3.8595182,1212,3.959007283,1207,3.909980682,1260,3.908563411,1252,3.90299479,1234,3.884951155,1204,3.854886553,3435,3.948541108,5,5
